list_id,metric,status_code,status,alteration_type,comid,gage_id
10259540,DS_Dur_WS,1,likely_unaltered,none_found,22592737,10259540
10259540,DS_Tim,-1,likely_altered,late,22592737,10259540
10259540,DS_Mag_50,1,likely_unaltered,none_found,22592737,10259540
10259540,DS_Mag_90,1,likely_unaltered,none_found,22592737,10259540
10259540,FA_Dur,1,likely_unaltered,none_found,22592737,10259540
10259540,FA_Mag,1,likely_unaltered,none_found,22592737,10259540
10259540,FA_Tim,1,likely_unaltered,none_found,22592737,10259540
10259540,Wet_Tim,1,likely_unaltered,none_found,22592737,10259540
10259540,SP_ROC,-1,likely_altered,low,22592737,10259540
10259540,SP_Dur,1,likely_unaltered,none_found,22592737,10259540
10259540,SP_Mag,-1,likely_altered,low,22592737,10259540
10259540,SP_Tim,1,likely_unaltered,none_found,22592737,10259540
10259540,Wet_BFL_Dur,1,likely_unaltered,none_found,22592737,10259540
10259540,Wet_BFL_Mag_10,1,likely_unaltered,none_found,22592737,10259540
10259540,Wet_BFL_Mag_50,1,likely_unaltered,none_found,22592737,10259540
10259540,Peak_Dur_10,1,likely_unaltered,none_found,22592737,10259540
10259540,Peak_Dur_2,1,likely_unaltered,none_found,22592737,10259540
10259540,Peak_Dur_5,1,likely_unaltered,none_found,22592737,10259540
10259540,Peak_10,-1,likely_altered,low,22592737,10259540
10259540,Peak_2,-1,likely_altered,low,22592737,10259540
10259540,Peak_5,-1,likely_altered,low,22592737,10259540
10259540,Peak_Fre_10,1,likely_unaltered,none_found,22592737,10259540
10259540,Peak_Fre_2,1,likely_unaltered,none_found,22592737,10259540
10259540,Peak_Fre_5,1,likely_unaltered,none_found,22592737,10259540
10304500,DS_Dur_WS,1,likely_unaltered,none_found,8924117,10304500
10304500,DS_Tim,1,likely_unaltered,none_found,8924117,10304500
10304500,DS_Mag_50,1,likely_unaltered,none_found,8924117,10304500
10304500,DS_Mag_90,1,likely_unaltered,none_found,8924117,10304500
10304500,FA_Mag,1,likely_unaltered,none_found,8924117,10304500
10304500,FA_Tim,0,indeterminate,early,8924117,10304500
10304500,Wet_Tim,1,likely_unaltered,none_found,8924117,10304500
10304500,SP_Dur,1,likely_unaltered,none_found,8924117,10304500
10304500,SP_Mag,1,likely_unaltered,none_found,8924117,10304500
10304500,SP_Tim,1,likely_unaltered,none_found,8924117,10304500
10304500,Wet_BFL_Dur,1,likely_unaltered,none_found,8924117,10304500
10304500,Wet_BFL_Mag_10,1,likely_unaltered,none_found,8924117,10304500
10304500,Wet_BFL_Mag_50,1,likely_unaltered,none_found,8924117,10304500
10304500,Peak_10,1,likely_unaltered,none_found,8924117,10304500
10304500,Peak_2,1,likely_unaltered,none_found,8924117,10304500
10304500,Peak_5,1,likely_unaltered,none_found,8924117,10304500
10336790,DS_Dur_WS,1,likely_unaltered,none_found,8945207,10336790
10336790,DS_Tim,1,likely_unaltered,none_found,8945207,10336790
10336790,DS_Mag_50,1,likely_unaltered,none_found,8945207,10336790
10336790,DS_Mag_90,1,likely_unaltered,none_found,8945207,10336790
10336790,FA_Mag,1,likely_unaltered,none_found,8945207,10336790
10336790,FA_Tim,1,likely_unaltered,none_found,8945207,10336790
10336790,Wet_Tim,1,likely_unaltered,none_found,8945207,10336790
10336790,SP_Dur,1,likely_unaltered,none_found,8945207,10336790
10336790,SP_Mag,-1,likely_altered,low,8945207,10336790
10336790,SP_Tim,1,likely_unaltered,none_found,8945207,10336790
10336790,Wet_BFL_Dur,1,likely_unaltered,none_found,8945207,10336790
10336790,Wet_BFL_Mag_10,0,indeterminate,low,8945207,10336790
10336790,Wet_BFL_Mag_50,1,likely_unaltered,none_found,8945207,10336790
10336790,Peak_10,-1,likely_altered,low,8945207,10336790
10336790,Peak_2,-1,likely_altered,low,8945207,10336790
10336790,Peak_5,-1,likely_altered,low,8945207,10336790
10344505,DS_Dur_WS,0,indeterminate,low,8933706,10344505
10344505,DS_Tim,1,likely_unaltered,none_found,8933706,10344505
10344505,DS_Mag_50,0,indeterminate,high,8933706,10344505
10344505,DS_Mag_90,1,likely_unaltered,none_found,8933706,10344505
10344505,FA_Mag,1,likely_unaltered,none_found,8933706,10344505
10344505,FA_Tim,1,likely_unaltered,none_found,8933706,10344505
10344505,Wet_Tim,1,likely_unaltered,none_found,8933706,10344505
10344505,SP_Dur,1,likely_unaltered,none_found,8933706,10344505
10344505,SP_Mag,-1,likely_altered,low,8933706,10344505
10344505,SP_Tim,1,likely_unaltered,none_found,8933706,10344505
10344505,Wet_BFL_Dur,1,likely_unaltered,none_found,8933706,10344505
10344505,Wet_BFL_Mag_10,1,likely_unaltered,none_found,8933706,10344505
10344505,Wet_BFL_Mag_50,-1,likely_altered,low,8933706,10344505
10344505,Peak_10,1,likely_unaltered,none_found,8933706,10344505
10344505,Peak_2,-1,likely_altered,low,8933706,10344505
10344505,Peak_5,1,likely_unaltered,none_found,8933706,10344505
10354000,DS_Dur_WS,1,likely_unaltered,none_found,20298765,10354000
10354000,DS_Tim,1,likely_unaltered,none_found,20298765,10354000
10354000,DS_Mag_50,1,likely_unaltered,none_found,20298765,10354000
10354000,DS_Mag_90,-1,likely_altered,low,20298765,10354000
10354000,FA_Dur,1,likely_unaltered,none_found,20298765,10354000
10354000,FA_Mag,-1,likely_altered,low,20298765,10354000
10354000,FA_Tim,1,likely_unaltered,none_found,20298765,10354000
10354000,Wet_Tim,1,likely_unaltered,none_found,20298765,10354000
10354000,SP_ROC,1,likely_unaltered,none_found,20298765,10354000
10354000,SP_Dur,1,likely_unaltered,none_found,20298765,10354000
10354000,SP_Mag,-1,likely_altered,low,20298765,10354000
10354000,SP_Tim,1,likely_unaltered,none_found,20298765,10354000
10354000,Wet_BFL_Dur,1,likely_unaltered,none_found,20298765,10354000
10354000,Wet_BFL_Mag_10,1,likely_unaltered,none_found,20298765,10354000
10354000,Wet_BFL_Mag_50,-1,likely_altered,low,20298765,10354000
10354000,Peak_Dur_10,1,likely_unaltered,none_found,20298765,10354000
10354000,Peak_Dur_2,-1,likely_altered,high,20298765,10354000
10354000,Peak_Dur_5,-1,likely_altered,high,20298765,10354000
10354000,Peak_10,1,likely_unaltered,none_found,20298765,10354000
10354000,Peak_2,1,likely_unaltered,none_found,20298765,10354000
10354000,Peak_5,1,likely_unaltered,none_found,20298765,10354000
10354000,Peak_Fre_10,-1,likely_altered,high,20298765,10354000
10354000,Peak_Fre_2,1,likely_unaltered,none_found,20298765,10354000
10354000,Peak_Fre_5,1,likely_unaltered,none_found,20298765,10354000
11012500,FA_Dur,1,likely_unaltered,none_found,20326431,11012500
11012500,SP_ROC,1,likely_unaltered,none_found,20326431,11012500
11012500,Peak_Dur_10,1,likely_unaltered,none_found,20326431,11012500
11012500,Peak_Dur_2,-1,likely_altered,high,20326431,11012500
11012500,Peak_Dur_5,1,likely_unaltered,none_found,20326431,11012500
11012500,Peak_Fre_10,1,likely_unaltered,none_found,20326431,11012500
11012500,Peak_Fre_2,1,likely_unaltered,none_found,20326431,11012500
11012500,Peak_Fre_5,1,likely_unaltered,none_found,20326431,11012500
11056000,DS_Dur_WS,1,likely_unaltered,none_found,948070563,11056000
11056000,DS_Tim,1,likely_unaltered,none_found,948070563,11056000
11056000,DS_Mag_50,-1,likely_altered,low,948070563,11056000
11056000,DS_Mag_90,-1,likely_altered,low,948070563,11056000
11056000,FA_Dur,1,likely_unaltered,none_found,948070563,11056000
11056000,FA_Mag,-1,likely_altered,low,948070563,11056000
11056000,FA_Tim,1,likely_unaltered,none_found,948070563,11056000
11056000,Wet_Tim,1,likely_unaltered,none_found,948070563,11056000
11056000,SP_ROC,-1,likely_altered,high,948070563,11056000
11056000,SP_Dur,1,likely_unaltered,none_found,948070563,11056000
11056000,SP_Mag,-1,likely_altered,low,948070563,11056000
11056000,SP_Tim,-1,likely_altered,early,948070563,11056000
11056000,Wet_BFL_Dur,1,likely_unaltered,none_found,948070563,11056000
11056000,Wet_BFL_Mag_10,-1,likely_altered,low,948070563,11056000
11056000,Wet_BFL_Mag_50,-1,likely_altered,low,948070563,11056000
11056000,Peak_Dur_10,1,likely_unaltered,none_found,948070563,11056000
11056000,Peak_Dur_2,1,likely_unaltered,none_found,948070563,11056000
11056000,Peak_Dur_5,1,likely_unaltered,none_found,948070563,11056000
11056000,Peak_10,-1,likely_altered,low,948070563,11056000
11056000,Peak_2,-1,likely_altered,low,948070563,11056000
11056000,Peak_5,1,likely_unaltered,none_found,948070563,11056000
11056000,Peak_Fre_10,1,likely_unaltered,none_found,948070563,11056000
11056000,Peak_Fre_2,1,likely_unaltered,none_found,948070563,11056000
11056000,Peak_Fre_5,1,likely_unaltered,none_found,948070563,11056000
11060300,DS_Dur_WS,0,indeterminate,low,22557894,11060300
11060300,DS_Tim,1,likely_unaltered,none_found,22557894,11060300
11060300,DS_Mag_50,-1,likely_altered,low,22557894,11060300
11060300,DS_Mag_90,-1,likely_altered,low,22557894,11060300
11060300,FA_Dur,1,likely_unaltered,none_found,22557894,11060300
11060300,FA_Mag,-1,likely_altered,low,22557894,11060300
11060300,FA_Tim,1,likely_unaltered,none_found,22557894,11060300
11060300,Wet_Tim,0,indeterminate,early,22557894,11060300
11060300,SP_ROC,-1,likely_altered,high,22557894,11060300
11060300,SP_Dur,1,likely_unaltered,none_found,22557894,11060300
11060300,SP_Mag,-1,likely_altered,low,22557894,11060300
11060300,SP_Tim,1,likely_unaltered,none_found,22557894,11060300
11060300,Wet_BFL_Dur,1,likely_unaltered,none_found,22557894,11060300
11060300,Wet_BFL_Mag_10,-1,likely_altered,low,22557894,11060300
11060300,Wet_BFL_Mag_50,-1,likely_altered,low,22557894,11060300
11060300,Peak_Dur_10,1,likely_unaltered,none_found,22557894,11060300
11060300,Peak_Dur_2,1,likely_unaltered,none_found,22557894,11060300
11060300,Peak_Dur_5,1,likely_unaltered,none_found,22557894,11060300
11060300,Peak_10,-1,likely_altered,low,22557894,11060300
11060300,Peak_2,-1,likely_altered,low,22557894,11060300
11060300,Peak_5,-1,likely_altered,low,22557894,11060300
11060300,Peak_Fre_10,1,likely_unaltered,none_found,22557894,11060300
11060300,Peak_Fre_2,1,likely_unaltered,none_found,22557894,11060300
11060300,Peak_Fre_5,1,likely_unaltered,none_found,22557894,11060300
11086400,DS_Dur_WS,1,likely_unaltered,none_found,22523137,11086400
11086400,DS_Tim,-1,likely_altered,late,22523137,11086400
11086400,DS_Mag_50,1,likely_unaltered,none_found,22523137,11086400
11086400,DS_Mag_90,0,indeterminate,low,22523137,11086400
11086400,FA_Dur,1,likely_unaltered,none_found,22523137,11086400
11086400,FA_Mag,1,likely_unaltered,none_found,22523137,11086400
11086400,FA_Tim,0,indeterminate,early,22523137,11086400
11086400,Wet_Tim,1,likely_unaltered,none_found,22523137,11086400
11086400,SP_ROC,1,likely_unaltered,none_found,22523137,11086400
11086400,SP_Dur,1,likely_unaltered,none_found,22523137,11086400
11086400,SP_Mag,-1,likely_altered,low,22523137,11086400
11086400,SP_Tim,-1,likely_altered,late,22523137,11086400
11086400,Wet_BFL_Dur,0,indeterminate,high,22523137,11086400
11086400,Wet_BFL_Mag_10,-1,likely_altered,low,22523137,11086400
11086400,Wet_BFL_Mag_50,1,likely_unaltered,none_found,22523137,11086400
11086400,Peak_Dur_10,1,likely_unaltered,none_found,22523137,11086400
11086400,Peak_Dur_2,1,likely_unaltered,none_found,22523137,11086400
11086400,Peak_Dur_5,1,likely_unaltered,none_found,22523137,11086400
11086400,Peak_10,-1,likely_altered,low,22523137,11086400
11086400,Peak_2,-1,likely_altered,low,22523137,11086400
11086400,Peak_5,-1,likely_altered,low,22523137,11086400
11086400,Peak_Fre_10,1,likely_unaltered,none_found,22523137,11086400
11086400,Peak_Fre_2,1,likely_unaltered,none_found,22523137,11086400
11086400,Peak_Fre_5,1,likely_unaltered,none_found,22523137,11086400
11108000,DS_Dur_WS,1,likely_unaltered,none_found,17574541,11108000
11108000,DS_Tim,1,likely_unaltered,none_found,17574541,11108000
11108000,DS_Mag_50,1,likely_unaltered,none_found,17574541,11108000
11108000,DS_Mag_90,1,likely_unaltered,none_found,17574541,11108000
11108000,FA_Dur,1,likely_unaltered,none_found,17574541,11108000
11108000,FA_Mag,-1,likely_altered,low,17574541,11108000
11108000,FA_Tim,1,likely_unaltered,none_found,17574541,11108000
11108000,Wet_Tim,1,likely_unaltered,none_found,17574541,11108000
11108000,SP_ROC,-1,likely_altered,high,17574541,11108000
11108000,SP_Dur,1,likely_unaltered,none_found,17574541,11108000
11108000,SP_Mag,1,likely_unaltered,none_found,17574541,11108000
11108000,SP_Tim,1,likely_unaltered,none_found,17574541,11108000
11108000,Wet_BFL_Dur,1,likely_unaltered,none_found,17574541,11108000
