"StationCode","SampleID","BugCode","SampleDate","CollectionMethodCode","Replicate","Invasives","Effort","Count","CountOTU","PercentUnambiguous","Adequacy","SelectedSamples","SiteSet","SiteStatus"
"101WE1111","101WE1111_101WE1111_8/6/2002 0:00:00_BMI_RWB_1","101WE1111","8/6/2002 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,521,521,100,"Adequate","NotSelected","StressVal","Stressed"
"101WE1111","101WE1111_101WE1111_8/6/2002 0:00:00_BMI_TRC_1","101WE1111","8/6/2002 0:00:00","BMI_TRC",1,"NoInvasivesDetected",NA,515,515,100,"Adequate","Selected","StressVal","Stressed"
"102PS0139","102PS0139_102PS0139_8/9/2010 0:00:00_BMI_RWB_1","102PS0139","8/9/2010 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,592,581,98.1418918918919,"Adequate","Selected","Other","Intermediate"
"103FCA168","103FCA168_103FCA168_8/18/2009 0:00:00_BMI_RWB_1","103FCA168","8/18/2009 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,606,552,91.0891089108911,"Adequate","Selected","Other","Intermediate"
"103FS0405","103FS0405_103CDCHHR_9/14/2010 0:00:00_BMI_RWB_1","103CDCHHR","9/14/2010 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,595,558,93.781512605042,"Adequate","NotSelected","RefCal","Reference"
"103RDCBCC","103RDCBCC_103RDCBCC_7/21/2011 0:00:00_BMI_RWB_1","103RDCBCC","7/21/2011 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,664,592,89.1566265060241,"Adequate","Selected","Other","Intermediate"
"103WE0585","103WE0585_103WE0585_9/15/2000 0:00:00_BMI_RWB_1","103WE0585","9/15/2000 0:00:00","BMI_RWB",1,"NoInvasivesDetected",NA,496,483,97.3790322580645,"Adequate","Selected","Other","Intermediate"
"103WE0817","103WE0817_103WE0817_5/19/2004 0:00:00_BMI_RWB_1","103WE0817","5/19/2004 0:00:00","BMI_RWB",1,"InvasivesDetected",NA,458,451,98.471615720524,"Adequate","NotSelected","Other","Intermediate"
"103WE0817","103WE0817_103WE0817_6/14/2001 0:00:00_BMI_RWB_1","103WE0817","6/14/2001 0:00:00","BMI_RWB",1,"InvasivesDetected",NA,467,455,97.4304068522484,"Adequate","NotSelected","Other","Intermediate"
"103WE0817","103WE0817_103WE0817_7/22/2003 0:00:00_BMI_RWB_1","103WE0817","7/22/2003 0:00:00","BMI_RWB",1,"InvasivesDetected",NA,516,491,95.1550387596899,"Adequate","NotSelected","Other","Intermediate"
